NOTE! Installing ujson may make loading annotations faster.
Using device: cuda:0
Loading COCO dataset...
Loading annotations into memory...
Done (t=8.83s)
Creating index...
index created!
Loading annotations into memory...
Done (t=0.37s)
Creating index...
index created!
Train samples: 117266, Val samples: 4952
Number of classes in mapping: 80

Epoch 8, Batch 600/1833: Loss=1.2834
Epoch 8, Batch 750/1833: Loss=0.9980
Epoch 8, Batch 900/1833: Loss=1.2571
Epoch 8, Batch 1050/1833: Loss=0.8878
Epoch 8, Batch 1200/1833: Loss=1.0379
Epoch 8, Batch 1350/1833: Loss=1.0028
Epoch 8, Batch 1500/1833: Loss=1.1963
Epoch 8, Batch 1650/1833: Loss=1.1148
Epoch 8, Batch 1800/1833: Loss=1.1447
Epoch 8 | Train Loss: 1.0832 | Val Accuracy: 41.74%
Epoch 9, Batch 0/1833: Loss=0.6010
Epoch 9, Batch 150/1833: Loss=0.5683
Epoch 9, Batch 300/1833: Loss=0.7539
Epoch 9, Batch 450/1833: Loss=0.4790
Epoch 9, Batch 600/1833: Loss=0.7291
Epoch 9, Batch 750/1833: Loss=0.6706
Epoch 9, Batch 900/1833: Loss=0.6818
Epoch 9, Batch 1050/1833: Loss=0.8721
Epoch 9, Batch 1200/1833: Loss=0.8080
Epoch 9, Batch 1350/1833: Loss=0.6269
Epoch 9, Batch 1500/1833: Loss=0.8610
Epoch 9, Batch 1650/1833: Loss=0.8225
Epoch 9, Batch 1800/1833: Loss=0.8570
Epoch 9 | Train Loss: 0.7304 | Val Accuracy: 39.84%
Epoch 10, Batch 0/1833: Loss=0.3786
Epoch 10, Batch 150/1833: Loss=0.3450
Epoch 10, Batch 300/1833: Loss=0.2493
Epoch 10, Batch 450/1833: Loss=0.3507
Epoch 10, Batch 600/1833: Loss=0.3645
Epoch 10, Batch 750/1833: Loss=0.7635
Epoch 10, Batch 900/1833: Loss=0.5840
Epoch 10, Batch 1050/1833: Loss=0.4920
Epoch 10, Batch 1200/1833: Loss=0.9573
Epoch 10, Batch 1350/1833: Loss=0.2755
Epoch 10, Batch 1500/1833: Loss=0.5014
Epoch 10, Batch 1650/1833: Loss=0.3816
Epoch 10, Batch 1800/1833: Loss=0.6243
Epoch 10 | Train Loss: 0.4520 | Val Accuracy: 37.60%
Epoch 11, Batch 0/1833: Loss=0.2383
Epoch 11, Batch 150/1833: Loss=0.1817
Epoch 11, Batch 300/1833: Loss=0.1990
Epoch 11, Batch 450/1833: Loss=0.2275
Epoch 11, Batch 600/1833: Loss=0.2245
Epoch 11, Batch 750/1833: Loss=0.3538
Epoch 11, Batch 900/1833: Loss=0.1991
Epoch 11, Batch 1050/1833: Loss=0.3919
Epoch 11, Batch 1200/1833: Loss=0.4965
Epoch 11, Batch 1350/1833: Loss=0.2004
Epoch 11, Batch 1500/1833: Loss=0.1918
Epoch 11, Batch 1650/1833: Loss=0.3414
Epoch 11, Batch 1800/1833: Loss=0.5040
Epoch 11 | Train Loss: 0.3035 | Val Accuracy: 38.09%
Epoch 12, Batch 0/1833: Loss=0.1645
Epoch 12, Batch 150/1833: Loss=0.2171
Epoch 12, Batch 300/1833: Loss=0.0973
Epoch 12, Batch 450/1833: Loss=0.2373
Epoch 12, Batch 600/1833: Loss=0.0946
Epoch 12, Batch 750/1833: Loss=0.2280
Epoch 12, Batch 900/1833: Loss=0.1247
Epoch 12, Batch 1050/1833: Loss=0.1362
Epoch 12, Batch 1200/1833: Loss=0.2336
Epoch 12, Batch 1350/1833: Loss=0.2198
Epoch 12, Batch 1500/1833: Loss=0.0853
Epoch 12, Batch 1650/1833: Loss=0.2989
Epoch 12, Batch 1800/1833: Loss=0.1234
Epoch 12 | Train Loss: 0.2380 | Val Accuracy: 37.90%
Epoch 13, Batch 0/1833: Loss=0.1691
Epoch 13, Batch 150/1833: Loss=0.0761
Epoch 13, Batch 300/1833: Loss=0.0995
Epoch 13, Batch 450/1833: Loss=0.2566
Epoch 13, Batch 600/1833: Loss=0.1288
Epoch 13, Batch 750/1833: Loss=0.1120
Epoch 13, Batch 900/1833: Loss=0.1264
Epoch 13, Batch 1050/1833: Loss=0.2358
Epoch 13, Batch 1200/1833: Loss=0.2303
Epoch 13, Batch 1350/1833: Loss=0.2547
Epoch 13, Batch 1500/1833: Loss=0.1733
Epoch 13, Batch 1650/1833: Loss=0.2068
Epoch 13, Batch 1800/1833: Loss=0.2156
Epoch 13 | Train Loss: 0.1958 | Val Accuracy: 38.41%
Epoch 14, Batch 0/1833: Loss=0.0598
Epoch 14, Batch 150/1833: Loss=0.0927
Epoch 14, Batch 300/1833: Loss=0.1168
Epoch 14, Batch 450/1833: Loss=0.0552
Epoch 14, Batch 600/1833: Loss=0.1635
Epoch 14, Batch 750/1833: Loss=0.0785
Epoch 14, Batch 900/1833: Loss=0.1639
Epoch 14, Batch 1050/1833: Loss=0.1911
Epoch 14, Batch 1200/1833: Loss=0.3956
Epoch 14, Batch 1350/1833: Loss=0.2583
Epoch 14, Batch 1500/1833: Loss=0.1550
Epoch 14, Batch 1650/1833: Loss=0.2095
Epoch 14, Batch 1800/1833: Loss=0.1878
Epoch 14 | Train Loss: 0.1762 | Val Accuracy: 38.59%
Final Val Accuracy: 38.59%

--- QI ResNet18 without Jet Loss 1F ---
Epoch 0, Batch 0/1833: Loss=4.7289
Epoch 0, Batch 50/1833: Loss=3.3269
Epoch 0, Batch 100/1833: Loss=3.3101
Epoch 0, Batch 150/1833: Loss=3.4136
Epoch 0, Batch 200/1833: Loss=3.2420
